Variable,Position,Label,Measurement Level
SerialNo,1,Serial Number,Scale
RespSex,2,Gender,Nominal
age_dv,3,(D) Age of respondent in bands: W4-5,Scale
bhhsize2,4,(D) Household size (4 categories),Nominal
below6,5,(D) Children under 6 in household,Scale
below16,6,(D) Children under 16 in household,Scale
marstat2,7,(D) Marital status,Scale
hhdinc,8,(D) Household income,Scale
workstat2,9,(D) Working Status (3 categories),Scale
region_dv,10,(D) Region,Nominal
religion_dv,11,(D) Religion,Scale
wimd_2014_quintile,12,Wales - WIMD 2015 - Overall rank - QUINTILE,Nominal
nimd_2010_quintile,13,Northern Ireland - NIMD 2010 - QUINTILE,Nominal
nimd2017_quintile,14,Northern Ireland - NIMD 2017 - Overall rank - QUINTILE,Nominal
UrbanRuralInd,15,(D) Net Urban-Rural Classification,Nominal
surveyyear,16,(D) Survey Year,Nominal
country_dv,17,(D) Country,Nominal
psu_dv,18,primary sample unit,Scale
stratum_all_dv,19,Strata,Scale
combinedW1_5weight,20,(D) Combined all countries calibration weight core+boost+extra (scaled to countries %),Scale
countryW1_5weight,21,(D) Combined all countries calibration weight core+boost+extra,Scale
CkRes,22,"Over a typical week, which of these best describes the level of responsibility you have for preparing and cooking food in your household?",Nominal
resfdprp,23,(D) Respondent responsibility for preparing/cooking food,Nominal
CkFreq,24,"How often do you cook or prepare food for yourself, or others?",Nominal
bcook3,25,(D) Cook or prepare food - never,Nominal
dietary,26,(D) Dietary restrictions,Nominal
fdreac_dv,27,(D) Suffer adverse reaction or avoid foods due to reaction,Nominal
reacalle,28,Food allergy,Nominal
reacint,29,Food intolerance,Nominal
reaccoe,30,Coeliac disease,Nominal
reacnoc,31,Non-coeliac gluten sensitivity,Nominal
reacglu,32,Gluten intolerance,Nominal
reaclac,33,Lactose intolerance,Nominal
reaccow,34,Cow's milk intolerance,Nominal
reacfpi,35,Food protein-induced enterocolitis syndrome (FPIES),Nominal
reacoth,36,Other type of reaction,Nominal
reacno,37,No reaction,Nominal
clinaller,38,(D) Clinically diagnosed allergy,Nominal
clinint,39,(D) Clinically diagnosed intolerance,Nominal
Q2_19,40,"And does anyone in your household, other than you, have a food allergy?",Nominal
q2_14sub_dv,41,"(D) At the moment, how often do you eat cuts or portions of beef, lamb or pork?",Nominal
q2_14su2_dv,42,"(D) At the moment, how often do you eat burgers?",Nominal
q2_14su3_dv,43,"(D) At the moment, how often do you eat sausages?",Nominal
q2_14su4_dv,44,"(D) At the moment, how often do you eat chicken or turkey?",Nominal
q2_14su5_dv,45,"(D) At the moment, how often do you eat duck or goose?",Nominal
q2_14su6_dv,46,"(D) At the moment, how often do you eat pre-cooked meats (e.g. ham or meat pate)?",Nominal
q2_14su6a_dv,47,"(D) At the moment, how often do you eat cured or dried meats?",Nominal
q2_14su7_dv,48,"(D) At the moment, how often do you eat milk and dairy foods?",Nominal
q2_14su7a_dv,49,"(D) At the moment, how often do you eat raw milk?",Nominal
Q2_14su8_DV,50,(D) At the moment: How often do you eat eggs?,Nominal
q2_14su8a_dv,51,"(D) At the moment, how often do you eat cooked eggs?",Nominal
q2_14su8b_dv,52,"(D) At the moment, how often do you eat raw or uncooked eggs?",Nominal
q2_14su9_dv,53,"(D) At the moment, how often do you eat smoked fish excluding shellfish?",Nominal
q2_14s10_dv,54,"(D) At the moment, how often do you eat cooked shellfish?",Nominal
q2_14s10a_dv,55,"(D) At the moment, how often do you eat raw oysters?",Nominal
q2_14s12_dv,56,"(D) At the moment, how often do you eat raw fruit?",Nominal
q2_14s13_dv,57,"(D) At the moment, how often do you eat raw vegetables including salad?",Nominal
q2_14s14_dv,58,"(D) At the moment, how often do you eat cooked vegetables?",Nominal
q2_14s14a_dv,59,"(D) At the moment, how often do you eat frozen fruits?",Nominal
q2_14s15_dv,60,"(D) At the moment, how often do you eat pre-packed sandwiches?",Nominal
q2_14s16_dv,61,"(D) At the moment, how often do you eat ready meals?",Nominal
EatOut1,62,Eaten in a restaurant,Nominal
